Treino,Média
2013-2014_treino_42.csv_128-1,0.57
2013-2014_treino_43.csv_128-1,0.56
2013-2014_treino_44.csv_128-1,0.56
2013-2014_treino_45.csv_128-1,0.57
2013-2014_treino_46.csv_128-1,0.58
2013-2014_treino_47.csv_128-1,0.58
2013-2014_treino_48.csv_128-1,0.57
2013-2014_treino_49.csv_128-1,0.57
2013-2014_treino_50.csv_128-1,0.56
2013-2014_treino_51.csv_128-1,0.56
2013-2014_treino_52.csv_128-1,0.56
2013-2014_treino_53.csv_128-1,0.55
2013-2014_treino_54.csv_128-1,0.56
2013-2014_treino_55.csv_128-1,0.56
2013-2014_treino_56.csv_128-1,0.56
2013-2014_treino_57.csv_128-1,0.56
2013-2014_treino_58.csv_128-1,0.56
2013-2014_treino_59.csv_128-1,0.56
2013-2014_treino_60.csv_128-1,0.56
2013-2014_treino_61.csv_128-1,0.56
2013-2014_treino_62.csv_128-1,0.57
2013-2014_treino_63.csv_128-1,0.57
2013-2014_treino_64.csv_128-1,0.57
2013-2014_treino_65.csv_128-1,0.57
2013-2014_treino_66.csv_128-1,0.58
2013-2014_treino_67.csv_128-1,0.57
2013-2014_treino_68.csv_128-1,0.58
2013-2014_treino_69.csv_128-1,0.58
2013-2014_treino_70.csv_128-1,0.58
2013-2014_treino_71.csv_128-1,0.59
2013-2014_treino_72.csv_128-1,0.59
2013-2014_treino_73.csv_128-1,0.59
2013-2014_treino_74.csv_128-1,0.58
2013-2014_treino_75.csv_128-1,0.58
2013-2014_treino_76.csv_128-1,0.59
2013-2014_treino_77.csv_128-1,0.59
2013-2014_treino_78.csv_128-1,0.59
2013-2014_treino_79.csv_128-1,0.59
2013-2014_treino_80.csv_128-1,0.59
2013-2014_treino_81.csv_128-1,0.59
2013-2014_treino_82.csv_128-1,0.59
2013-2014_treino_83.csv_128-1,0.59
2013-2014_treino_84.csv_128-1,0.60
2013-2014_treino_85.csv_128-1,0.61
2013-2014_treino_86.csv_128-1,0.61
2013-2014_treino_87.csv_128-1,0.62
2013-2014_treino_88.csv_128-1,0.61
2013-2014_treino_89.csv_128-1,0.61
2013-2014_treino_90.csv_128-1,0.62
2013-2014_treino_91.csv_128-1,0.62
2013-2014_treino_92.csv_128-1,0.62
2013-2014_treino_93.csv_128-1,0.61
2013-2014_treino_94.csv_128-1,0.61
2013-2014_treino_95.csv_128-1,0.62
2013-2014_treino_96.csv_128-1,0.62
2013-2014_treino_97.csv_128-1,0.62
2013-2014_treino_98.csv_128-1,0.62
2013-2014_treino_99.csv_128-1,0.63
2013-2014_treino_100.csv_128-1,0.62
2013-2014_treino_101.csv_128-1,0.62
2013-2014_treino_102.csv_128-1,0.62
2013-2014_treino_103.csv_128-1,0.62
2013-2014_treino_104.csv_128-1,0.62
2013-2014_treino_105.csv_128-1,0.62
2013-2014_treino_106.csv_128-1,0.62
2013-2014_treino_107.csv_128-1,0.63
2013-2014_treino_108.csv_128-1,0.63
2013-2014_treino_109.csv_128-1,0.64
2013-2014_treino_110.csv_128-1,0.65
2013-2014_treino_111.csv_128-1,0.64
2013-2014_treino_112.csv_128-1,0.63
2013-2014_treino_113.csv_128-1,0.63
2013-2014_treino_114.csv_128-1,0.63
2013-2014_treino_115.csv_128-1,0.62
2013-2014_treino_116.csv_128-1,0.62
2013-2014_treino_117.csv_128-1,0.62
2013-2014_treino_118.csv_128-1,0.62
2013-2014_treino_119.csv_128-1,0.62
2013-2014_treino_120.csv_128-1,0.62
2013-2014_treino_121.csv_128-1,0.62
2013-2014_treino_122.csv_128-1,0.62
2013-2014_treino_123.csv_128-1,0.62
2013-2014_treino_124.csv_128-1,0.62
2013-2014_treino_125.csv_128-1,0.62
2013-2014_treino_126.csv_128-1,0.63
2013-2014_treino_127.csv_128-1,0.62
2013-2014_treino_128.csv_128-1,0.62
2013-2014_treino_129.csv_128-1,0.63
